Job Solution,Remote Testing,Adaptive/IRT,Test Type
Account Manager Solution,No,No,"C, P, A, B"
Administrative Professional - Short Form,No,No,"A, K, P"
Agency Manager Solution,No,No,"A, B, P, S"
Apprentice + 8.0 Job Focused Assessment,No,No,"B, P"
Apprentice 8.0 Job Focused Assessment,No,No,"B, P"
Bank Administrative Assistant - Short Form,No,No,"A, B, K, P"
Bank Collections Agent - Short Form,No,No,"A, B, P"
Bank Operations Supervisor - Short Form,No,No,"A, B, P, S"
Bilingual Spanish Reservation Agent Solution,No,No,"B, P, S, A"
"Bookkeeping, Accounting, Auditing Clerk Short Form",No,No,"P, S, K, B, A"
Branch Manager - Short Form,No,No,"A, B, P"
Cashier Solution,No,No,"B, A, P"
Global Skills Development Report,No,No,"A, E, B, C, D, P"
.NET Framework 4.5,No,No,K
.NET MVC (New),No,No,K
.NET MVVM (New),No,No,K
.NET WCF (New),No,No,K
.NET WPF (New),No,No,K
.NET XAML (New),No,No,K
Accounts Payable (New),No,No,K
Accounts Payable Simulation (New),No,No,S
Accounts Receivable (New),No,No,K
Accounts Receivable Simulation (New),No,No,S
ADO.NET (New),No,No,K
